title,link

# 01.06.2026
Senior Frontend Developer | Agito Software & Consulting | LinkedIn,https://www.linkedin.com/jobs/view/4414314870/

# 01.06.2026
Full Stack Developer | $80/hr Remote | Crossing Hurdles | LinkedIn,https://www.linkedin.com/jobs/view/4412734393/

# 01.06.2026
Software Engineer (Multi-Language) | $40/hr Remote | Crossing Hurdles | LinkedIn,https://www.linkedin.com/jobs/view/4421779558/

# 01.06.2026
.NET Developer - Banking | OBSS | LinkedIn,https://www.linkedin.com/jobs/view/4387282002/

# 01.06.2026
Cobol Developer | OBSS | LinkedIn,https://www.linkedin.com/jobs/view/4296716453/

# 01.06.2026
Security Engineer (Global Project) | OBSS | LinkedIn,https://www.linkedin.com/jobs/view/4409288848/

# 01.06.2026
Mühendislik Mesleki Gelişim Programı | Arch of Sigma | LinkedIn,https://www.linkedin.com/jobs/view/4421656978/
